"population","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
100616,670,1128000000,946700964,"Saint Vincent and the Grenadines",11210.940605867854,"North America",178
218019,882,1024000000,857257723,"Samoa",4696.838348951238,"Oceania",179
235536,678,751000000,546761440,"Sao Tome and Principe",3188.472250526459,"Africa",180
66205,212,708000000,612048148,"Dominica",10694.056340155577,"North America",181
104175,776,581000000,488407940,"Tonga",5577.1538276937845,"Oceania",182
113160,583,484000000,427094119,"Micronesia",4277.129727819018,"Oceania",183
134518,296,311000000,223671137,"Kiribati",2311.9582509403945,"Oceania",184
17695,585,308000000,225659873,"Palau",17406.046905905623,"Oceania",185
37548,584,305000000,279667900,"Marshall Islands",8122.935975284969,"Oceania",186
11947,520,161000000,147952220,"Nauru",13476.1864903323,"Oceania",187
9646,798,66000000,59040262,"Tuvalu",6842.2143893842,"Oceania",188
42647492,4,0,14174994400,"Afghanistan",332.37580301322294,"Asia",189
64636,60,0,7546000000,"Bermuda",116746.08577263444,"North America",190
39471,92,0,1471233257,"British Virgin Islands",37273.77712751134,"North America",191
74457,136,0,6281102622,"Cayman Islands",84358.79261855836,"North America",192
23103565,144,0,76187113737,"Sri Lanka",3297.6345311643463,"Asia",193
13729,184,0,289749646,"Cook Islands",21104.93451817321,"Oceania",194
10979783,192,0,147193876305,"Cuba",13405.900308321212,"North America",195
3535603,232,0,2383297748,"Eritrea",674.0852261976246,"Africa",196
281807,258,0,5814661197,"French Polynesia",20633.487447082578,"Oceania",197
5495443,275,0,19111900000,"Palestine",3477.7724016062034,"Asia",198
55840,304,0,2926118824,"Greenland",52401.84140401146,"North America",199
26498823,408,0,15176134613,"North Korea",572.7097619769753,"Asia",200
1684790,412,0,9397445599,"Kosovo",5577.814207705412,,201
5805962,422,0,39303066807,"Lebanon",6769.43231922634,"Asia",202
39870,438,0,7757945359,"Liechtenstein",194581.02229746676,"Europe",203
38631,492,0,8772072494,"Monaco",227073.39944604074,"Europe",204
4389,500,0,72262963,"Montserrat",16464.56208703577,"North America",205
185482,531,0,3075180835,"Curacao",16579.403041804595,"North America",206
43350,534,0,1572960894,"Sint Maarten",36285.14173010381,"North America",207
292639,540,0,9623318699,"New Caledonia",32884.60765311527,"Oceania",208
251269164,586,0,326796632109,"Pakistan",1300.5839113190984,"Asia",209
14598,660,0,452896296,"Anguilla",31024.544184134815,"North America",210
24672760,760,0,18595794717,"Syria",753.6973859835706,"Asia",211
46535,796,0,1138808881,"Turks and Caicos Islands",24472.09371440851,"North America",212
