,3x3-basketball,alpine-skiing,archery,artistic-gymnastics,artistic-swimming,athletics,badminton,baseball,baseball-softball,basketball,basque-pelota,beach-volleyball,biathlon,bobsleigh,boxing,canoe-marathon,canoe-slalom,canoe-sprint,cricket,croquet,cross-country-skiing,curling,cycling-bmx,cycling-bmx-freestyle,cycling-bmx-racing,cycling-mountain-bike,cycling-road,cycling-track,diving,equestrian,equestrian-dressage,equestrian-eventing,equestrian-jumping,equestrian-vaulting,fencing,figure-skating,football,freestyle-skiing,golf,gymnastics-artistic,gymnastics-rhythmic,handball,hockey,ice-hockey,jeu-de-paume,judo,karate,lacrosse,luge,marathon-swimming,military-patrol,modern-pentathlon,nordic-combined,polo,rackets,rhythmic-gymnastics,roque,rowing,rugby,rugby-sevens,sailing,shooting,short-track,short-track-speed-skating,skateboarding,skeleton,ski-jumping,snowboard,softball,speed-skating,sport-climbing,surfing,swimming,synchronized-swimming,table-tennis,taekwondo,tennis,trampoline,trampoline-gymnastics,triathlon,tug-of-war,volleyball,water-motorsports,water-polo,weightlifting,wrestling
lake-placid-1980,,True,,,,,,,,,,,True,True,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,True,,,,True,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,
montreal-1976,,,True,,,True,,,,True,,,,,True,,,True,,,,,,,,,True,True,True,,True,True,True,,True,,True,,,,,True,True,,,True,,,,,,True,,,,,,True,,,True,True,,,,,,,,,,,True,,,,,,,,,True,,True,True,True
innsbruck-1976,,True,,,,,,,,,,,True,True,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,True,,,,True,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,
munich-1972,,,True,,,True,,,,True,,,,,True,,True,True,,,,,,,,,True,True,True,,True,True,True,,True,,True,,,,,True,True,,,True,,,,,,True,,,,,,True,,,True,True,,,,,,,,,,,True,,,,,,,,,True,,True,True,True
sapporo-1972,,True,,,,,,,,,,,True,True,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,True,,,,True,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,
mexico-city-1968,,,,,,True,,,,True,,,,,True,,,True,,,,,,,,,True,True,True,,True,True,True,,True,,True,,,,,,True,,,,,,,,,True,,,,,,True,,,True,True,,,,,,,,,,,True,,,,,,,,,True,,True,True,True
grenoble-1968,,True,,,,,,,,,,,True,True,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,True,,,,True,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,
tokyo-1964,,,,,,True,,,,True,,,,,True,,,True,,,,,,,,,True,True,True,,True,True,True,,True,,True,,,True,,,True,,,True,,,,,,True,,,,,,True,,,True,True,,,,,,,,,,,True,,,,,,,,,True,,True,True,True
innsbruck-1964,,True,,,,,,,,,,,True,True,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,True,,,,True,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,
rome-1960,,,,,,True,,,,True,,,,,True,,,True,,,,,,,,,True,True,True,,True,True,True,,True,,True,,,,,,True,,,,,,,,,True,,,,,,True,,,True,True,,,,,,,,,,,True,,,,,,,,,,,True,True,True
squaw-valley-1960,,True,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,
melbourne-1956,,,,,,True,,,,True,,,,,True,True,,True,,,,,,,,,True,True,True,,,,,,True,,True,,,,,,True,,,,,,,,,True,,,,,,True,,,True,True,,,,,,,,,,,True,,,,,,,,,,,True,True,True
cortina-d-ampezzo-1956,,True,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,
helsinki-1952,,,,,,True,,,,True,,,,,True,,,True,,,,,,,,,True,True,True,,True,True,True,,True,,True,,,,,,True,,,,,,,,,True,,,,,,True,,,True,True,,,,,,,,,,,True,,,,,,,,,,,True,True,True
