Event,AFGm,AFGw,AFGall,ALBm,ALBw,ALBall,ALGm,ALGw,ALGall,ASAm,ASAw,ASAall,ANDm,ANDw,ANDall,ANGm,ANGw,ANGall,ANTm,ANTw,ANTall,ARGm,ARGw,ARGall,ARMm,ARMw,ARMall,ARUm,ARUw,ARUall,ANZm,ANZw,ANZall,AUSm,AUSw,AUSall,AUTm,AUTw,AUTall,AZEm,AZEw,AZEall,BRNm,BRNw,BRNall,BANm,BANw,BANall,BARm,BARw,BARall,BLRm,BLRw,BLRall,BELm,BELw,BELall,BIZm,BIZw,BIZall,BENm,BENw,BENall,BERm,BERw,BERall,BHUm,BHUw,BHUall,BOHm,BOHw,BOHall,BOLm,BOLw,BOLall,BIHm,BIHw,BIHall,BOTm,BOTw,BOTall,BRAm,BRAw,BRAall,IVBm,IVBw,IVBall,BRUm,BRUw,BRUall,BULm,BULw,BULall,BURm,BURw,BURall,BDIm,BDIw,BDIall,CPVm,CPVw,CPVall,CAMm,CAMw,CAMall,CMRm,CMRw,CMRall,CANm,CANw,CANall,CAYm,CAYw,CAYall,CAFm,CAFw,CAFall,CHAm,CHAw,CHAall,CHIm,CHIw,CHIall,TPEm,TPEw,TPEall,COLm,COLw,COLall,COMm,COMw,COMall,CGOm,CGOw,CGOall,COKm,COKw,COKall,CRCm,CRCw,CRCall,CIVm,CIVw,CIVall,CRTm,CRTw,CRTall,CROm,CROw,CROall,CUBm,CUBw,CUBall,CYPm,CYPw,CYPall,CZEm,CZEw,CZEall,TCHm,TCHw,TCHall,PRKm,PRKw,PRKall,CODm,CODw,CODall,DENm,DENw,DENall,DJIm,DJIw,DJIall,DMAm,DMAw,DMAall,DOMm,DOMw,DOMall,GDRm,GDRw,GDRall,ECUm,ECUw,ECUall,EGYm,EGYw,EGYall,ESAm,ESAw,ESAall,GEQm,GEQw,GEQall,ERIm,ERIw,ERIall,ESTm,ESTw,ESTall,SWZm,SWZw,SWZall,ETHm,ETHw,ETHall,FSMm,FSMw,FSMall,FIJm,FIJw,FIJall,FINm,FINw,FINall,FRAm,FRAw,FRAall,GABm,GABw,GABall,GEOm,GEOw,GEOall,GERm,GERw,GERall,GHAm,GHAw,GHAall,GBRm,GBRw,GBRall,GREm,GREw,GREall,GRNm,GRNw,GRNall,GUMm,GUMw,GUMall,GUAm,GUAw,GUAall,GUIm,GUIw,GUIall,GBSm,GBSw,GBSall,GUYm,GUYw,GUYall,HAIm,HAIw,HAIall,HONm,HONw,HONall,HKGm,HKGw,HKGall,HUNm,HUNw,HUNall,ISLm,ISLw,ISLall,IOAm,IOAw,IOAall,INDm,INDw,INDall,INAm,INAw,INAall,IRQm,IRQw,IRQall,IRLm,IRLw,IRLall,IRIm,IRIw,IRIall,ISRm,ISRw,ISRall,ITAm,ITAw,ITAall,JAMm,JAMw,JAMall,JPNm,JPNw,JPNall,JORm,JORw,JORall,KAZm,KAZw,KAZall,KENm,KENw,KENall,KSAm,KSAw,KSAall,KIRm,KIRw,KIRall,CORm,CORw,CORall,KOSm,KOSw,KOSall,KUWm,KUWw,KUWall,KGZm,KGZw,KGZall,LAOm,LAOw,LAOall,LATm,LATw,LATall,LBNm,LBNw,LBNall,LESm,LESw,LESall,LBRm,LBRw,LBRall,LBAm,LBAw,LBAall,LIEm,LIEw,LIEall,LTUm,LTUw,LTUall,LUXm,LUXw,LUXall,MADm,MADw,MADall,MAWm,MAWw,MAWall,MALm,MALw,MALall,MASm,MASw,MASall,MDVm,MDVw,MDVall,MLIm,MLIw,MLIall,MLTm,MLTw,MLTall,MHLm,MHLw,MHLall,MTNm,MTNw,MTNall,MRIm,MRIw,MRIall,MEXm,MEXw,MEXall,MONm,MONw,MONall,MGLm,MGLw,MGLall,MNEm,MNEw,MNEall,MARm,MARw,MARall,MOZm,MOZw,MOZall,MYAm,MYAw,MYAall,NAMm,NAMw,NAMall,NRUm,NRUw,NRUall,NEPm,NEPw,NEPall,NEDm,NEDw,NEDall,AHOm,AHOw,AHOall,NZLm,NZLw,NZLall,NCAm,NCAw,NCAall,NIGm,NIGw,NIGall,NGRm,NGRw,NGRall,NBOm,NBOw,NBOall,MKDm,MKDw,MKDall,YARm,YARw,YARall,NORm,NORw,NORall,OMAm,OMAw,OMAall,PAKm,PAKw,PAKall,PLWm,PLWw,PLWall,PLEm,PLEw,PLEall,PANm,PANw,PANall,PNGm,PNGw,PNGall,PARm,PARw,PARall,CHNm,CHNw,CHNall,PERm,PERw,PERall,PHIm,PHIw,PHIall,POLm,POLw,POLall,PORm,PORw,PORall,PURm,PURw,PURall,QATm,QATw,QATall,EORm,EORw,EORall,KORm,KORw,KORall,MDAm,MDAw,MDAall,RHOm,RHOw,RHOall,ROCm,ROCw,ROCall,ROUm,ROUw,ROUall,RUSm,RUSw,RUSall,RWAm,RWAw,RWAall,SAAm,SAAw,SAAall,SKNm,SKNw,SKNall,LCAm,LCAw,LCAall,VINm,VINw,VINall,SAMm,SAMw,SAMall,SMRm,SMRw,SMRall,STPm,STPw,STPall,SENm,SENw,SENall,SRBm,SRBw,SRBall,SCGm,SCGw,SCGall,SEYm,SEYw,SEYall,SLEm,SLEw,SLEall,SGPm,SGPw,SGPall,SVKm,SVKw,SVKall,SLOm,SLOw,SLOall,SOLm,SOLw,SOLall,SOMm,SOMw,SOMall,RSAm,RSAw,RSAall,SSDm,SSDw,SSDall,VNMm,VNMw,VNMall,YMDm,YMDw,YMDall,URSm,URSw,URSall,ESPm,ESPw,ESPall,SRIm,SRIw,SRIall,SUDm,SUDw,SUDall,SURm,SURw,SURall,SWEm,SWEw,SWEall,SUIm,SUIw,SUIall,SYRm,SYRw,SYRall,TJKm,TJKw,TJKall,THAm,THAw,THAall,BAHm,BAHw,BAHall,GAMm,GAMw,GAMall,TLSm,TLSw,TLSall,TOGm,TOGw,TOGall,TGAm,TGAw,TGAall,TTOm,TTOw,TTOall,TUNm,TUNw,TUNall,TURm,TURw,TURall,TKMm,TKMw,TKMall,TUVm,TUVw,TUVall,UGAm,UGAw,UGAall,UKRm,UKRw,UKRall,EUNm,EUNw,EUNall,UAEm,UAEw,UAEall,UARm,UARw,UARall,TANm,TANw,TANall,USAm,USAw,USAall,ISVm,ISVw,ISVall,UNKm,UNKw,UNKall,URUm,URUw,URUall,UZBm,UZBw,UZBall,VANm,VANw,VANall,VENm,VENw,VENall,VIEm,VIEw,VIEall,FRGm,FRGw,FRGall,WIFm,WIFw,WIFall,YEMm,YEMw,YEMall,YUGm,YUGw,YUGall,ZAMm,ZAMw,ZAMall,ZIMm,ZIMw,ZIMall
1904 Summer Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,0,18.0,,,,4,0,4.0,14.0,0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.0,6,543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906 Intercalated Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0,4.0,31.0,0,31.0,,,,,,,,,,,,,,,,17,0,17.0,,,,,,,,,,,,,13.0,0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,49,0,49.0,,,,,,,,,,,,,,,,2.0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0,4.0,53.0,1,54.0,,,,,,,49.0,0,49.0,,,,40,0,40.0,318.0,5,323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,76.0,0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,32.0,0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,0,39.0,9.0,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,38.0,0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 Summer Olympics,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,30.0,0,30.0,,,,7.0,0,7.0,,,,,,,,,,,,,,,,70,0,70.0,,,,,,,,,,,,,19.0,0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,0,62.0,209.0,0,209.0,,,,,,,80.0,2,82.0,,,,698,39,737.0,20.0,0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,0,63.0,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,66.0,0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,69.0,0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,165.0,3,168.0,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,122.0,0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912 Summer Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2,25.0,,,,79.0,6,85.0,,,,,,,,,,,,,,,,34,1,35.0,,,,,,,,,,,,,43.0,0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,0,37.0,,,,,,,,,,14.0,0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,1,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,2,164.0,119.0,1,120.0,,,,,,,180.0,5,185.0,,,,263,11,274.0,22.0,0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,0,119.0,2.0,0,2.0,,,,,,,,,,,,,,,,,,,,,,66.0,0,66.0,,,,2.0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,188.0,2,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,6.0,0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,159.0,0,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,21,0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,422.0,23,445.0,8.0,0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,174.0,0,174.0,,,,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Summer Olympics,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,12.0,1,13.0,,,,,,,,,,,,,,,,,,,328,10,338.0,,,,,,,,,,,,,,,,,,,,,,,,,19.0,0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,55.0,0,55.0,,,,,,,,,,2.0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,1,119.0,,,,,,,150,4,154.0,,,,,,,,,,,,,,,,18.0,0,18.0,,,,,,,,,,14.0,0,14.0,,,,,,,,,,,,,62.0,1,63.0,291.0,8,299.0,,,,,,,,,,,,,219,16,235.0,47.0,0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5.0,,,,,,,,,,,,,,,,173.0,1,174.0,,,,15.0,0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,129.0,1,130.0,,,,3.0,1,4.0,,,,,,,,,,,,,,,,,,,188.0,6,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1,39.0,,,,,,,,,,,,,58.0,0,58.0,,,,,,,,,,247.0,13,260.0,79.0,0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.0,14,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0,15.0,,,,,,
1924 Summer Olympics,,,,,,,,,,,,,,,,,,,,,,77.0,0,77.0,,,,,,,,,,35.0,1,36.0,46.0,3,49.0,,,,,,,,,,,,,,,,166,7,173.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0,12.0,,,,,,,24.0,0,24.0,,,,,,,,,,,,,,,,65.0,0,65.0,,,,,,,,,,13.0,0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0,9.0,,,,,,,129.0,4,133.0,,,,,,,77,12,89.0,,,,,,,,,,,,,3,0,3.0,24.0,0,24.0,,,,,,,,,,37.0,0,37.0,,,,,,,,,,,,,121.0,0,121.0,368.0,32,400.0,,,,,,,,,,,,,239,28,267.0,38.0,1,39.0,,,,,,,,,,,,,,,,,,,8.0,0,8.0,,,,,,,86,3,89.0,,,,,,,12,1,13.0,,,,,,,46,2,48.0,,,,,,,196.0,4,200.0,,,,19.0,0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0,36.0,,,,,,,,,,,,,,,,13.0,0,13.0,46,2,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0,15.0,7.0,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,169.0,9,178.0,,,,3.0,1,4.0,,,,,,,,,,,,,,,,,,,60.0,2,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,64.0,1,65.0,28.0,0,28.0,,,,,,,,,,,,,,,,,,,,,,35.0,0,35.0,2.0,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,30.0,,,,,,,,,,,,,93.0,2,95.0,,,,,,,,,,146.0,13,159.0,136.0,5,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,275.0,24,299.0,,,,,,,26.0,0,26.0,,,,,,,,,,,,,,,,,,,,,,42.0,0,42.0,,,,,,
1924 Winter Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,2.0,2,4.0,,,,,,,,,,,,,,,,17,1,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,1,17.0,41.0,2,43.0,,,,,,,,,,,,,41,3,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4.0,,,,,,,7,0,7.0,,,,,,,,,,,,,,,,23.0,0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,0,31.0,30.0,0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0,4.0,,,,,,
1928 Summer Olympics,,,,,,,,,,,,,,,,,,,,,,81.0,0,81.0,,,,,,,,,,14.0,4,18.0,67.0,6,73.0,,,,,,,,,,,,,,,,175,12,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0,5.0,,,,,,,,,,,,,,,,61.0,7,68.0,,,,,,,,,,38.0,0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,68.0,1,69.0,,,,,,,82,9,91.0,,,,,,,,,,,,,,,,32.0,0,32.0,,,,,,,,,,20.0,0,20.0,,,,,,,,,,,,,67.0,2,69.0,257.0,37,294.0,,,,,,,263.0,35,298.0,,,,201,31,232.0,23.0,0,23.0,,,,,,,,,,,,,,,,,,,2.0,0,2.0,,,,,,,93,16,109.0,,,,,,,21,0,21.0,,,,,,,33,5,38.0,,,,,,,156.0,18,174.0,,,,39.0,1,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2,17.0,,,,,,,,,,,,,,,,11.0,1,12.0,46,2,48.0,,,,,,,,,,,,,,,,,,,9,0,9.0,,,,,,,,,,30.0,0,30.0,10.0,0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,222.0,44,266.0,,,,6.0,3,9.0,,,,,,,,,,,,,,,,,,,52.0,0,52.0,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,4.0,0,4.0,88.0,12,100.0,32.0,0,32.0,,,,,,,,,,,,,,,,,,,,,,19.0,2,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6,24.0,,,,,,,,,,,,,80.0,0,80.0,,,,,,,,,,87.0,13,100.0,132.0,1,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,237.0,44,281.0,,,,,,,17.0,0,17.0,,,,,,,,,,,,,,,,,,,,,,34.0,0,34.0,,,,2.0,0,2.0
1928 Winter Olympics,,,,,,,,,,,,,,,,,,,,,,10.0,0,10.0,,,,,,,,,,,,,32.0,5,37.0,,,,,,,,,,,,,,,,24,1,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,3,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,1,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0,2.0,,,,,,,,,,,,,17.0,1,18.0,36.0,2,38.0,,,,,,,39.0,5,44.0,,,,29,3,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,13.0,0,13.0,,,,6.0,0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,,,,1.0,0,1.0,5,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,22.0,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0,24.0,40.0,1,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,3,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0,6.0,,,,,,
1932 Summer Olympics,,,,,,,,,,,,,,,,,,,,,,33.0,0,33.0,,,,,,,,,,8.0,4,12.0,16.0,2,18.0,,,,,,,,,,,,,,,,29,7,36.0,,,,,,,,,,,,,,,,,,,,,,,,,58.0,1,59.0,,,,,,,2.0,0,2.0,,,,,,,,,,,,,,,,85.0,17,102.0,,,,,,,,,,,,,,,,2,0,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,0,3.0,,,,,,,28.0,0,28.0,,,,,,,35,8,43.0,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,2.0,0,2.0,,,,,,,,,,,,,40.0,0,40.0,97.0,6,103.0,,,,,,,137.0,9,146.0,,,,92,17,109.0,10.0,0,10.0,,,,,,,0,1,1.0,,,,,,,,,,3.0,0,3.0,,,,,,,56,2,58.0,,,,,,,19,0,19.0,,,,,,,14,2,16.0,,,,,,,112.0,0,112.0,,,,140.0,17,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0,5.0,,,,,,,,,,,,,,,,,,,3,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,2,73.0,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,29.0,15,44.0,,,,20.0,1,21.0,,,,,,,,,,,,,,,,,,,6.0,1,7.0,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,2,0,2.0,8.0,0,8.0,42.0,9,51.0,6.0,0,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,12.0,,,,,,,,,,,,,7.0,0,7.0,,,,,,,,,,78.0,3,81.0,7.0,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,400.0,74,474.0,,,,,,,2.0,0,2.0,,,,,,,1,0,1.0,,,,,,,,,,,,,1.0,0,1.0,,,,,,
1932 Winter Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,7.0,,,,,,,,,,,,,,,,4,1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,4,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0,7.0,7.0,1,8.0,,,,,,,15.0,0,15.0,,,,0,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0,12.0,,,,16.0,0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,1,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1,12.0,7.0,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,6,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
