,country,Gold 2024,Silver 2024,Bronze 2024,Population 2024,GDP 2024,Gold 2020,Silver 2020,Bronze 2020,Gold 2016,Silver 2016,Bronze 2016,Gold 2012,Silver 2012,Bronze 2012,Gold 2008,Silver 2008,Bronze 2008,Gold 2008,Silver 2008,Bronze 2008
28,Egypt,1,1,1,116538258.0,2982.6599947975883,1.0,1.0,4.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0
29,Ethiopia,1,3,0,132059767.0,1553.3118425084,1.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,2.0
30,Fiji,0,1,0,928784.0,6245.800961256869,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,France,16,26,22,66548530.0,47033.495706065936,10.0,12.0,11.0,10.0,18.0,14.0,11.0,11.0,13.0,7.0,16.0,20.0,11.0,9.0,13.0
32,Georgia,3,3,1,3807670.0,8631.262688205648,2.0,5.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0
33,Germany,12,13,8,84552242.0,54298.97411827353,10.0,11.0,16.0,17.0,10.0,15.0,11.0,20.0,13.0,16.0,11.0,14.0,13.0,16.0,20.0
34,Great Britain,14,22,29,69138192.0,50554.6919711178,22.0,20.0,22.0,27.0,23.0,17.0,29.0,18.0,18.0,19.0,13.0,19.0,9.0,9.0,12.0
35,Greece,1,1,6,10047817.0,24908.49504922313,2.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,6.0,6.0,4.0
36,Grenada,0,0,2,117207.0,11995.870553806511,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Guatemala,1,0,1,18406359.0,5978.09702614189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"Hong Kong, China",2,0,2,7414909.0,54859.0683985468,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
39,Hungary,6,7,6,9676135.0,23089.074304978178,6.0,7.0,7.0,8.0,3.0,4.0,8.0,4.0,6.0,3.0,5.0,2.0,8.0,6.0,3.0
40,IR Iran,3,6,3,91567738.0,5069.26358713808,3.0,2.0,2.0,3.0,1.0,4.0,7.0,5.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0
41,India,0,1,5,1450935791.0,2713.4281368071925,1.0,2.0,4.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0
42,Indonesia,2,0,1,283487931.0,5205.477336529011,1.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0
